,Holding,Symbol,Weighting,Fund
2033,CryoLife Inc,CRY,0.0599%,IHI
2034,Tactile Systems Technology Inc,TCMD,0.0589%,IHI
2035,Orthofix Medical Inc,OFIX,0.0508%,IHI
2036,Vapotherm Inc,VAPO,0.05%,IHI
2037,Natus Medical Inc,NTUS,0.0489%,IHI
2038,Inari Medical Inc,NARI,0.0483%,IHI
2039,LeMaitre Vascular Inc,LMAT,0.0459%,IHI
2040,Inogen Inc,INGN,0.0457%,IHI
2041,Surmodics Inc,SRDX,0.0456%,IHI
2042,Varex Imaging Corp,VREX,0.0413%,IHI
2043,AngioDynamics Inc,ANGO,0.0411%,IHI
2044,AxoGen Inc,AXGN,0.0346%,IHI
2045,Apple Inc,AAPL,12.8502%,MGK
2046,Microsoft Corp,MSFT,11.4763%,MGK
2047,Amazon.com Inc,AMZN,9.7653%,MGK
2048,Facebook Inc,FB,4.6045%,MGK
2049,Alphabet Inc,GOOGL,3.2152%,MGK
2050,Alphabet Inc,GOOG,3.0629%,MGK
2051,Visa Inc,V,2.4598%,MGK
2052,Tesla Inc,TSLA,2.2841%,MGK
2053,NVIDIA Corp,NVDA,2.2745%,MGK
2054,Mastercard Inc,MA,2.1976%,MGK
2055,Home Depot Inc,HD,2.1449%,MGK
2056,Adobe Inc,ADBE,1.7213%,MGK
2057,PayPal Holdings Inc,PYPL,1.6683%,MGK
2058,Netflix Inc,NFLX,1.5966%,MGK
2059,Salesforce.Com Inc,CRM,1.5475%,MGK
2060,Thermo Fisher Scientific Inc,TMO,1.2638%,MGK
2061,Mcdonald's Corp,MCD,1.1919%,MGK
2062,Nike Inc,NKE,1.1496%,MGK
2063,Costco Wholesale Corp,COST,1.1393%,MGK
2064,Broadcom Inc,AVGO,1.0757%,MGK
2065,Accenture PLC,ACN,1.0413%,MGK
2066,Texas Instruments Inc,TXN,0.9494%,MGK
2067,Linde PLC,LIN,0.9087%,MGK
2068,Lowe's Companies Inc,LOW,0.8985%,MGK
2069,American Tower Corp,AMT,0.7769%,MGK
2070,Starbucks Corp,SBUX,0.7255%,MGK
2071,Advanced Micro Devices Inc,AMD,0.7031%,MGK
2072,ServiceNow Inc,NOW,0.6888%,MGK
2073,Lockheed Martin Corp,LMT,0.6753%,MGK
2074,Fidelity National Information Services Inc,FIS,0.6753%,MGK
2075,Charter Communications Inc,CHTR,0.6666%,MGK
2076,Boeing Co,BA,0.643%,MGK
2077,S&P Global Inc,SPGI,0.6279%,MGK
2078,Intuitive Surgical Inc,ISRG,0.6019%,MGK
2079,Zoom Video Communications Inc,ZM,0.5863%,MGK
2080,Intuit Inc,INTU,0.5833%,MGK
2081,Zoetis Inc,ZTS,0.5645%,MGK
2082,Vertex Pharmaceuticals Inc,VRTX,0.5165%,MGK
2083,Booking Holdings Inc,BKNG,0.5086%,MGK
2084,Stryker Corp,SYK,0.5068%,MGK
2085,Crown Castle International Corp,CCI,0.5027%,MGK
2086,Equinix Inc,EQIX,0.4973%,MGK
2087,Danaher Corp,DHR,0.4949%,MGK
2088,Bristol-Myers Squibb Co,BMY,0.4943%,MGK
2089,Union Pacific Corp,UNP,0.4925%,MGK
2090,Becton Dickinson and Co,BDX,0.4797%,MGK
2091,Colgate-Palmolive Co,CL,0.4783%,MGK
2092,Activision Blizzard Inc,ATVI,0.4561%,MGK
2093,Square Inc,SQ,0.4473%,MGK
2094,United Parcel Service Inc,UPS,0.4354%,MGK
2095,Fiserv Inc,FISV,0.4319%,MGK
2096,Sherwin-Williams Co,SHW,0.429%,MGK
2097,TJX Companies Inc,TJX,0.4269%,MGK
2098,Regeneron Pharmaceuticals Inc,REGN,0.4235%,MGK
2099,Automatic Data Processing Inc,ADP,0.4121%,MGK
2100,Applied Materials Inc,AMAT,0.3989%,MGK
2101,Boston Scientific Corp,BSX,0.3952%,MGK
2102,Intercontinental Exchange Inc,ICE,0.3941%,MGK
2103,Global Payments Inc,GPN,0.3893%,MGK
2104,Dollar General Corp,DG,0.3824%,MGK
2105,Autodesk Inc,ADSK,0.3743%,MGK
2106,Ecolab Inc,ECL,0.373%,MGK
2107,Lam Research Corp,LRCX,0.3593%,MGK
2108,Edwards Lifesciences Corp,EW,0.3554%,MGK
2109,Aon PLC,AON,0.3474%,MGK
2110,Moody's Corp,MCO,0.335%,MGK
2111,Illumina Inc,ILMN,0.3251%,MGK
2112,Estee Lauder Companies Inc,EL,0.3171%,MGK
2113,Analog Devices Inc,ADI,0.3141%,MGK
2114,Roper Technologies Inc,ROP,0.305%,MGK
2115,Uber Technologies Inc,UBER,0.2954%,MGK
2116,Workday Inc,WDAY,0.2829%,MGK
2117,L3harris Technologies Inc,LHX,0.2786%,MGK
2118,Electronic Arts Inc,EA,0.2739%,MGK
2119,Prologis Inc,PLD,0.2682%,MGK
2120,O'Reilly Automotive Inc,ORLY,0.2461%,MGK
2121,Public Storage,PSA,0.2398%,MGK
2122,Ross Stores Inc,ROST,0.2372%,MGK
2123,T-Mobile US Inc,TMUS,0.2317%,MGK
2124,Agilent Technologies Inc,A,0.2263%,MGK
2125,Monster Beverage Corp,MNST,0.2148%,MGK
2126,Marsh & McLennan Companies Inc,MMC,0.2105%,MGK
2127,Micron Technology Inc,MU,0.2059%,MGK
2128,Illinois Tool Works Inc,ITW,0.2017%,MGK
2129,Yum! Brands Inc,YUM,0.2009%,MGK
2130,Paychex Inc,PAYX,0.1874%,MGK
2131,Newmont Corporation,NEM,0.184%,MGK
2132,Brown-Forman Corp,BF.B,0.1699%,MGK
2133,Hershey Co,HSY,0.1533%,MGK
2134,Baxter International Inc,BAX,0.146%,MGK
2135,Blackstone Group Inc,BX,0.1293%,MGK
2136,Autozone Inc,AZO,0.1003%,MGK
2137,Rockwell Automation Inc,ROK,0.0961%,MGK
2138,Hilton Worldwide Holdings Inc,HLT,0.0884%,MGK
2139,VMware Inc,VMW,0.0854%,MGK
2140,EOG Resources Inc,EOG,0.077%,MGK
2141,Snowflake Inc.,SNOW,0.0506%,MGK
2142,Alexion Pharmaceuticals Inc,ALXN,0.044%,MGK
2143,Keurig Dr Pepper Inc,KDP,0.0418%,MGK
2144,Sirius XM Holdings Inc,SIRI,0.0209%,MGK
2145,Cash Component,CASH,0.0066%,MGK
2146,Amazon.com Inc,AMZN,5.7619%,OGIG
2147,Alibaba Group Holding Ltd,BABA,5.5051%,OGIG
2148,Tencent Holdings Ltd,700,3.884%,OGIG
2149,Alphabet Inc,GOOGL,3.8275%,OGIG
2150,Facebook Inc,FB,3.7652%,OGIG
2151,Microsoft Corp,MSFT,3.56%,OGIG
2152,Meituan Dianping,3690,2.6345%,OGIG
2153,Zoom Video Communications Inc,ZM,2.5586%,OGIG
2154,Shopify Inc,SHOP,2.2935%,OGIG
2155,Pinduoduo Inc,PDD,1.8094%,OGIG
2156,Mercadolibre Inc,MELI,1.6864%,OGIG
2157,Delivery Hero SE,DHER,1.5933%,OGIG
2158,Roku Inc,ROKU,1.592%,OGIG
2159,Zalando SE,ZAL,1.5686%,OGIG
2160,Snap Inc,SNAP,1.5678%,OGIG
2161,CrowdStrike Holdings Inc,CRWD,1.5613%,OGIG
2162,Pinterest Inc,PINS,1.5271%,OGIG
2163,Just Eat Takeaway.com NV,TKWY,1.4967%,OGIG
2164,Fastly Inc,FSLY,1.4371%,OGIG
2165,ServiceNow Inc,NOW,1.4305%,OGIG
2166,Netflix Inc,NFLX,1.424%,OGIG
2167,DocuSign Inc,DOCU,1.4239%,OGIG
2168,JD.Com Inc,JD,1.4046%,OGIG
2169,Zscaler Inc,ZS,1.3513%,OGIG
2170,Bilibili Inc,BILI,1.3353%,OGIG
2171,Trade Desk Inc,TTD,1.3238%,OGIG
2172,Smartsheet Inc,SMAR,1.3099%,OGIG
2173,Ubisoft Entertainment SA,UBI,1.2807%,OGIG
2174,Okta Inc,OKTA,1.2716%,OGIG
2175,Salesforce.Com Inc,CRM,1.2694%,OGIG
2176,MongoDB Inc,MDB,1.2544%,OGIG
2177,ETSY Inc,ETSY,1.2418%,OGIG
2178,Twilio Inc,TWLO,1.2194%,OGIG
2179,NetEase Inc,NTES,1.2181%,OGIG
2180,Hellofresh SE,HFG,1.2132%,OGIG
2181,Adobe Inc,ADBE,1.2103%,OGIG
2182,Zynga Inc,ZNGA,1.2026%,OGIG
2183,Coupa Software Inc,COUP,1.1312%,OGIG
2184,Farfetch Ltd,FTCH,1.086%,OGIG
2185,Xero Ltd,XRO,1.0689%,OGIG
2186,Zillow Group Inc,Z,1.0592%,OGIG
2187,Kingdee International Software Group Co Ltd,268,1.0575%,OGIG
2188,Spotify Technology SA,SPOT,1.055%,OGIG
2189,Chewy Inc,CHWY,1.0248%,OGIG
2190,Atlassian Corporation PLC,TEAM,1.019%,OGIG
2191,Wix.Com Ltd,WIX,1.0182%,OGIG
2192,Wayfair Inc,W,1.0122%,OGIG
2193,TeamViewer AG,TMV,0.9702%,OGIG
2194,Ocado Group PLC,OCDO,0.9601%,OGIG
2195,Zendesk Inc,ZEN,0.9559%,OGIG
2196,Tencent Music Entertainment Group,TME,0.9371%,OGIG
2197,Anaplan Inc,PLAN,0.936%,OGIG
2198,Elastic NV,ESTC,0.934%,OGIG
2199,RingCentral Inc,RNG,0.9301%,OGIG
2200,Avalara Inc,AVLR,0.9211%,OGIG
2201,HubSpot Inc,HUBS,0.8508%,OGIG
2202,Workday Inc,WDAY,0.7686%,OGIG
2203,Splunk Inc,SPLK,0.7545%,OGIG
2204,Palo Alto Networks Inc,PANW,0.6887%,OGIG
2205,Nexon Co Ltd,3659,0.6834%,OGIG
2206,Match Group Inc,MTCH,0.6697%,OGIG
2207,Twitter Inc,TWTR,0.6681%,OGIG
2208,Z Holdings Corp,4689,0.5849%,OGIG
2209,Fortinet Inc,FTNT,0.5739%,OGIG
2210,Intuit Inc,INTU,0.4595%,OGIG
2211,Activision Blizzard Inc,ATVI,0.4551%,OGIG
2212,Baidu Inc,BIDU,0.4492%,OGIG
2213,Booking Holdings Inc,BKNG,0.3831%,OGIG
2214,VMware Inc,VMW,0.3671%,OGIG
2215,eBay Inc,EBAY,0.2822%,OGIG
2216,Electronic Arts Inc,EA,0.268%,OGIG
2217,Cash Component,CASH,0.0018%,OGIG
2218,Tesla Inc,TSLA,9.4839%,SMOG
2219,Vestas Wind Systems A/S,VWS,8.7282%,SMOG
2220,Microchip Technology Inc,MCHP,8.5861%,SMOG
2221,Orsted A/S,ORSTED,8.5659%,SMOG
2222,Eaton Corporation PLC,ETN,8.4221%,SMOG
2223,Solaredge Technologies Inc,SEDG,5.7184%,SMOG
2224,NIO Inc,NIO,5.429%,SMOG
2225,Nibe Industrier AB,NIBE.B,4.2345%,SMOG
2226,Sunrun Inc,RUN,4.1107%,SMOG
2227,Enphase Energy Inc,ENPH,4.0142%,SMOG
2228,Universal Display Corp,OLED,3.5157%,SMOG
2229,Cree Inc,CREE,3.1526%,SMOG
2230,Verbund AG,VER,3.0165%,SMOG
2231,Siemens Gamesa Renewable Energy SA,SGRE,2.7586%,SMOG
2232,Northland Power Inc,NPI,2.4897%,SMOG
2233,Plug Power Inc,PLUG,2.4237%,SMOG
2234,First Solar Inc,FSLR,2.3004%,SMOG
2235,Acuity Brands Inc,AYI,1.8355%,SMOG
2236,Power Integrations Inc,POWI,1.5169%,SMOG
2237,EnerSys,ENS,1.3093%,SMOG
2238,Advanced Energy Industries Inc,AEIS,1.105%,SMOG
2239,Itron Inc,ITRI,1.1016%,SMOG
2240,Ormat Technologies Inc,ORA,1.077%,SMOG
2241,Energy Absolute PCL,EA-R,1.0668%,SMOG
2242,China Longyuan Power Group Corp Ltd,916,0.9505%,SMOG
2243,Clearway Energy Inc,CWEN,0.8953%,SMOG
2244,Bloom Energy Corp,BE,0.7984%,SMOG
2245,Cosan Ltd,CZZ,0.6899%,SMOG
2246,SunPower Corp,SPWR,0.4383%,SMOG
2247,Xinjiang Goldwind Science & Technology Co Ltd,2208,0.263%,SMOG
2248,Cash Component,CASH,0.0021%,SMOG
2249,Broadcom Inc,AVGO,8.4134%,SOXX
2250,Intel Corp,INTC,8.056%,SOXX
2251,Texas Instruments Inc,TXN,7.9815%,SOXX
2252,NVIDIA Corp,NVDA,7.929%,SOXX
2253,Qualcomm Inc,QCOM,7.9024%,SOXX
2254,Micron Technology Inc,MU,4.4672%,SOXX
2255,Taiwan Semiconductor Manufacturing Co Ltd,TSM,4.0728%,SOXX
2256,Lam Research Corp,LRCX,4.0254%,SOXX
2257,Analog Devices Inc,ADI,4.0012%,SOXX
2258,NXP Semiconductors NV,NXPI,3.9304%,SOXX
2259,Applied Materials Inc,AMAT,3.8822%,SOXX
2260,KLA Corp,KLAC,3.7312%,SOXX
2261,Advanced Micro Devices Inc,AMD,3.6096%,SOXX
2262,ASML Holding NV,ASML,3.5442%,SOXX
2263,Marvell Technology Group Ltd,MRVL,3.2779%,SOXX
2264,Microchip Technology Inc,MCHP,3.2199%,SOXX
2265,Xilinx Inc,XLNX,3.1431%,SOXX
2266,Skyworks Solutions Inc,SWKS,2.9933%,SOXX
2267,Qorvo Inc,QRVO,1.8545%,SOXX
2268,Teradyne Inc,TER,1.6461%,SOXX
2269,Monolithic Power Systems Inc,MPWR,1.5423%,SOXX
2270,Entegris Inc,ENTG,1.2251%,SOXX
2271,ON Semiconductor Corp,ON,1.1108%,SOXX
2272,Cree Inc,CREE,0.8539%,SOXX
2273,MKS Instruments Inc,MKSI,0.7578%,SOXX
2274,Inphi Corp,IPHI,0.7282%,SOXX
2275,Silicon Laboratories Inc,SLAB,0.5332%,SOXX
2276,Cabot Microelectronics Corp,CCMP,0.514%,SOXX
2277,Lattice Semiconductor Corp,LSCC,0.4811%,SOXX
2278,Brooks Automation Inc,BRKS,0.4308%,SOXX
2279,Cash Component,CASH,0.1415%,SOXX
2280,Apple Inc,AAPL,6.6336%,SPY
2281,Microsoft Corp,MSFT,5.6732%,SPY
2282,Amazon.com Inc,AMZN,4.8434%,SPY
2283,Facebook Inc,FB,2.2757%,SPY
2284,Alphabet Inc,GOOGL,1.5963%,SPY
2285,Alphabet Inc,GOOG,1.5646%,SPY
2286,Berkshire Hathaway Inc,BRK.B,1.5091%,SPY
2287,Johnson & Johnson,JNJ,1.4005%,SPY
2288,Procter & Gamble Co,PG,1.2361%,SPY
2289,Visa Inc,V,1.2166%,SPY
2290,NVIDIA Corp,NVDA,1.1807%,SPY
2291,Mastercard Inc,MA,1.0741%,SPY
2292,Home Depot Inc,HD,1.0591%,SPY
2293,JPMorgan Chase & Co,JPM,1.0509%,SPY
2294,UnitedHealth Group Inc,UNH,1.0448%,SPY
2295,Verizon Communications Inc,VZ,0.8867%,SPY
2296,Adobe Inc,ADBE,0.8478%,SPY
2297,PayPal Holdings Inc,PYPL,0.8249%,SPY
2298,Walt Disney Co,DIS,0.8193%,SPY
2299,Salesforce.Com Inc,CRM,0.8143%,SPY
2300,Intel Corp,INTC,0.7874%,SPY
2301,Netflix Inc,NFLX,0.7867%,SPY
2302,Comcast Corp,CMCSA,0.7618%,SPY
2303,Merck & Co Inc,MRK,0.7494%,SPY
2304,AT&T Inc,T,0.7294%,SPY
2305,Pfizer Inc,PFE,0.727%,SPY
2306,Walmart Inc,WMT,0.6889%,SPY
2307,PepsiCo Inc,PEP,0.6865%,SPY
2308,Coca-Cola Co,KO,0.684%,SPY
2309,Abbott Laboratories,ABT,0.6733%,SPY
2310,Bank of America Corp,BAC,0.6555%,SPY
2311,Thermo Fisher Scientific Inc,TMO,0.6219%,SPY
2312,Cisco Systems Inc,CSCO,0.598%,SPY
2313,Mcdonald's Corp,MCD,0.5881%,SPY
2314,Nike Inc,NKE,0.5686%,SPY
2315,Costco Wholesale Corp,COST,0.5614%,SPY
2316,Abbvie Inc,ABBV,0.5546%,SPY
2317,Broadcom Inc,AVGO,0.5303%,SPY
2318,Amgen Inc,AMGN,0.5258%,SPY
2319,Exxon Mobil Corp,XOM,0.5242%,SPY
2320,Accenture PLC,ACN,0.515%,SPY
2321,Nextera Energy Inc,NEE,0.5007%,SPY
2322,Medtronic PLC,MDT,0.4992%,SPY
2323,Bristol-Myers Squibb Co,BMY,0.4883%,SPY
2324,Chevron Corp,CVX,0.4857%,SPY
2325,Union Pacific Corp,UNP,0.4841%,SPY
2326,Danaher Corp,DHR,0.4824%,SPY
2327,Qualcomm Inc,QCOM,0.4788%,SPY
2328,Texas Instruments Inc,TXN,0.469%,SPY
2329,Linde PLC,LIN,0.4495%,SPY
2330,Lowe's Companies Inc,LOW,0.4432%,SPY
2331,United Parcel Service Inc,UPS,0.4308%,SPY
2332,Eli Lilly and Co,LLY,0.4197%,SPY
2333,Philip Morris International Inc,PM,0.4186%,SPY
2334,Honeywell International Inc,HON,0.4176%,SPY
2335,Oracle Corp,ORCL,0.4157%,SPY
2336,International Business Machines Corp,IBM,0.3892%,SPY
2337,American Tower Corp,AMT,0.3857%,SPY
2338,Starbucks Corp,SBUX,0.3586%,SPY
2339,Advanced Micro Devices Inc,AMD,0.3473%,SPY
2340,Wells Fargo & Co,WFC,0.3466%,SPY
2341,Lockheed Martin Corp,LMT,0.3461%,SPY
2342,Charter Communications Inc,CHTR,0.3392%,SPY
2343,ServiceNow Inc,NOW,0.3376%,SPY
2344,Fidelity National Information Services Inc,FIS,0.3339%,SPY
2345,3M Co,MMM,0.3326%,SPY
2346,Citigroup Inc,C,0.3195%,SPY
2347,Raytheon Technologies Corp,RTX,0.3181%,SPY
2348,Boeing Co,BA,0.314%,SPY
2349,S&P Global Inc,SPGI,0.3114%,SPY
2350,Intuit Inc,INTU,0.3057%,SPY
2351,Mondelez International Inc,MDLZ,0.2919%,SPY
2352,Intuitive Surgical Inc,ISRG,0.2918%,SPY
2353,Caterpillar Inc,CAT,0.2891%,SPY
2354,Target Corp,TGT,0.2842%,SPY
2355,BlackRock Inc,BLK,0.2837%,SPY
2356,Gilead Sciences Inc,GILD,0.2817%,SPY
2357,Zoetis Inc,ZTS,0.2796%,SPY
2358,CVS Health Corp,CVS,0.2724%,SPY
2359,Prologis Inc,PLD,0.2661%,SPY
2360,Altria Group Inc,MO,0.2578%,SPY
2361,Vertex Pharmaceuticals Inc,VRTX,0.2553%,SPY
2362,Booking Holdings Inc,BKNG,0.2516%,SPY
2363,Deere & Co,DE,0.249%,SPY
2364,Crown Castle International Corp,CCI,0.2489%,SPY
2365,Goldman Sachs Group Inc,GS,0.2451%,SPY
2366,Equinix Inc,EQIX,0.2434%,SPY
2367,Stryker Corp,SYK,0.2414%,SPY
2368,T-Mobile US Inc,TMUS,0.239%,SPY
2369,Dominion Energy Inc,D,0.2366%,SPY
2370,Colgate-Palmolive Co,CL,0.2361%,SPY
2371,Anthem Inc,ANTM,0.236%,SPY
2372,Becton Dickinson and Co,BDX,0.236%,SPY
2373,Air Products and Chemicals Inc,APD,0.2351%,SPY
2374,TJX Companies Inc,TJX,0.2349%,SPY
2375,American Express Co,AXP,0.2305%,SPY
2376,Activision Blizzard Inc,ATVI,0.2255%,SPY
2377,FedEx Corp,FDX,0.2211%,SPY
2378,Duke Energy Corp,DUK,0.2191%,SPY
2379,Cigna Corp,CI,0.2185%,SPY
2380,Regeneron Pharmaceuticals Inc,REGN,0.2174%,SPY
2381,CME Group Inc,CME,0.2159%,SPY
2382,CSX Corp,CSX,0.2147%,SPY
2383,Automatic Data Processing Inc,ADP,0.2135%,SPY
2384,Marsh & McLennan Companies Inc,MMC,0.2093%,SPY
2385,Fiserv Inc,FISV,0.2081%,SPY
2386,Sherwin-Williams Co,SHW,0.208%,SPY
2387,Southern Co,SO,0.2051%,SPY
2388,Morgan Stanley,MS,0.2046%,SPY
2389,Micron Technology Inc,MU,0.2038%,SPY
2390,Illinois Tool Works Inc,ITW,0.2014%,SPY
2391,Intercontinental Exchange Inc,ICE,0.2011%,SPY
2392,Progressive Corp,PGR,0.1994%,SPY
2393,Norfolk Southern Corp,NSC,0.1986%,SPY
2394,Applied Materials Inc,AMAT,0.197%,SPY
2395,Boston Scientific Corp,BSX,0.1954%,SPY
2396,General Electric Co,GE,0.1938%,SPY
2397,Humana Inc,HUM,0.1932%,SPY
2398,Global Payments Inc,GPN,0.1922%,SPY
2399,Dollar General Corp,DG,0.1892%,SPY
2400,Chubb Ltd,CB,0.1864%,SPY
2401,Autodesk Inc,ADSK,0.185%,SPY
2402,Newmont Corporation,NEM,0.1824%,SPY
2403,Northrop Grumman Corp,NOC,0.182%,SPY
2404,Kimberly-Clark Corp,KMB,0.1805%,SPY
2405,Truist Financial Corp,TFC,0.1803%,SPY
2406,Lam Research Corp,LRCX,0.1788%,SPY
2407,Ecolab Inc,ECL,0.177%,SPY
2408,Edwards Lifesciences Corp,EW,0.1762%,SPY
2409,Estee Lauder Companies Inc,EL,0.1757%,SPY
2410,U.S. Bancorp,USB,0.175%,SPY
2411,Aon PLC,AON,0.1715%,SPY
2412,Moody's Corp,MCO,0.1667%,SPY
2413,PNC Financial Services Group Inc,PNC,0.164%,SPY
2414,Illumina Inc,ILMN,0.1617%,SPY
2415,Biogen Inc,BIIB,0.1614%,SPY
2416,Waste Management Inc,WM,0.1597%,SPY
2417,Analog Devices Inc,ADI,0.1558%,SPY
2418,Roper Technologies Inc,ROP,0.1521%,SPY
2419,Charles Schwab Corp,SCHW,0.15%,SPY
2420,Eaton Corporation PLC,ETN,0.1467%,SPY
2421,Dupont De Nemours Inc,DD,0.1464%,SPY
2422,American Electric Power Company Inc,AEP,0.1452%,SPY
2423,Baxter International Inc,BAX,0.1446%,SPY
2424,Digital Realty Trust Inc,DLR,0.1438%,SPY
2425,Emerson Electric Co,EMR,0.1407%,SPY
2426,DexCom Inc,DXCM,0.1403%,SPY
2427,L3harris Technologies Inc,LHX,0.1374%,SPY
2428,Electronic Arts Inc,EA,0.1361%,SPY
2429,Cognizant Technology Solutions Corp,CTSH,0.1353%,SPY
2430,General Mills Inc,GIS,0.1322%,SPY
2431,General Motors Co,GM,0.1309%,SPY
2432,Xcel Energy Inc,XEL,0.1305%,SPY
2433,Chipotle Mexican Grill Inc,CMG,0.129%,SPY
2434,Twitter Inc,TWTR,0.1281%,SPY
2435,eBay Inc,EBAY,0.1267%,SPY
2436,SBA Communications Corp,SBAC,0.1265%,SPY
2437,ConocoPhillips,COP,0.126%,SPY
2438,Dow Inc,DOW,0.125%,SPY
2439,Exelon Corp,EXC,0.1245%,SPY
2440,O'Reilly Automotive Inc,ORLY,0.1227%,SPY
2441,Sempra Energy,SRE,0.1216%,SPY
2442,Public Storage,PSA,0.1209%,SPY
2443,IDEXX Laboratories Inc,IDXX,0.1181%,SPY
2444,Ross Stores Inc,ROST,0.1172%,SPY
2445,Amphenol Corp,APH,0.117%,SPY
2446,Centene Corp,CNC,0.1169%,SPY
2447,General Dynamics Corp,GD,0.1167%,SPY
2448,Capital One Financial Corp,COF,0.1166%,SPY
2449,Synopsys Inc,SNPS,0.1162%,SPY
2450,TE Connectivity Ltd,TEL,0.1161%,SPY
2451,HCA Healthcare Inc,HCA,0.115%,SPY
2452,Cummins Inc,CMI,0.114%,SPY
2453,Constellation Brands Inc,STZ,0.1139%,SPY
2454,Sysco Corp,SYY,0.1126%,SPY
2455,Agilent Technologies Inc,A,0.1115%,SPY
2456,WEC Energy Group Inc,WEC,0.1105%,SPY
2457,Johnson Controls International PLC,JCI,0.1101%,SPY
2458,Verisk Analytics Inc,VRSK,0.1087%,SPY
2459,KLA Corp,KLAC,0.1082%,SPY
2460,Paccar Inc,PCAR,0.1078%,SPY
2461,MSCI Inc,MSCI,0.1071%,SPY
2462,IQVIA Holdings Inc,IQV,0.1071%,SPY
2463,Cadence Design Systems Inc,CDNS,0.1069%,SPY
2464,Monster Beverage Corp,MNST,0.1066%,SPY
2465,Allstate Corp,ALL,0.1057%,SPY
2466,Trane Technologies PLC,TT,0.105%,SPY
2467,IHS Markit Ltd,INFO,0.1043%,SPY
2468,T. Rowe Price Group Inc,TROW,0.1043%,SPY
2469,Cintas Corp,CTAS,0.1033%,SPY
2470,Eversource Energy,ES,0.1029%,SPY
2471,PPG Industries Inc,PPG,0.1028%,SPY
2472,MetLife Inc,MET,0.1026%,SPY
2473,Public Service Enterprise Group Inc,PEG,0.1002%,SPY
2474,ANSYS Inc,ANSS,0.1%,SPY
2475,Bank of New York Mellon Corp,BK,0.0998%,SPY
2476,Zimmer Biomet Holdings Inc,ZBH,0.0995%,SPY
2477,Yum! Brands Inc,YUM,0.0988%,SPY
2478,Travelers Companies Inc,TRV,0.0982%,SPY
2479,Autozone Inc,AZO,0.0973%,SPY
2480,Ball Corp,BLL,0.0971%,SPY
2481,TransDigm Group Inc,TDG,0.0971%,SPY
2482,Motorola Solutions Inc,MSI,0.0967%,SPY
2483,Willis Towers Watson PLC,WLTW,0.0964%,SPY
2484,Clorox Co,CLX,0.0962%,SPY
2485,Kroger Co,KR,0.0951%,SPY
2486,American Water Works Company Inc,AWK,0.0942%,SPY
2487,Fastenal Co,FAST,0.0941%,SPY
2488,HP Inc,HPQ,0.094%,SPY
2489,Microchip Technology Inc,MCHP,0.0939%,SPY
2490,Parker-Hannifin Corp,PH,0.0937%,SPY
2491,Ford Motor Co,F,0.0933%,SPY
2492,Stanley Black & Decker Inc,SWK,0.0933%,SPY
2493,Rockwell Automation Inc,ROK,0.0932%,SPY
2494,Consolidated Edison Inc,ED,0.0931%,SPY
2495,Fortive Corp,FTV,0.0931%,SPY
2496,Archer-Daniels-Midland Co,ADM,0.0924%,SPY
2497,Otis Worldwide Corp,OTIS,0.092%,SPY
2498,Paychex Inc,PAYX,0.0919%,SPY
2499,Walgreens Boots Alliance Inc,WBA,0.0919%,SPY
2500,Xilinx Inc,XLNX,0.0916%,SPY
2501,Best Buy Co Inc,BBY,0.0914%,SPY
2502,Resmed Inc,RMD,0.0904%,SPY
2503,Prudential Financial Inc,PRU,0.09%,SPY
2504,Carrier Global Corp,CARR,0.0899%,SPY
2505,Marriott International Inc,MAR,0.0897%,SPY
2506,Aptiv PLC,APTV,0.0896%,SPY
2507,Alexion Pharmaceuticals Inc,ALXN,0.0893%,SPY
2508,Williams Companies Inc,WMB,0.089%,SPY
2509,D.R. Horton Inc,DHI,0.0886%,SPY
2510,Corning Inc,GLW,0.0879%,SPY
2511,Kinder Morgan Inc,KMI,0.0876%,SPY
2512,Hilton Worldwide Holdings Inc,HLT,0.087%,SPY
2513,Skyworks Solutions Inc,SWKS,0.0868%,SPY
2514,Aflac Inc,AFL,0.0865%,SPY
2515,Mckesson Corp,MCK,0.0864%,SPY
2516,McCormick & Company Inc,MKC,0.0857%,SPY
2517,American International Group Inc,AIG,0.085%,SPY
2518,Church & Dwight Co Inc,CHD,0.0832%,SPY
2519,AMETEK Inc,AME,0.0829%,SPY
2520,Align Technology Inc,ALGN,0.0828%,SPY
2521,Phillips 66,PSX,0.0826%,SPY
2522,Welltower Inc,WELL,0.0823%,SPY
2523,Mettler-Toledo International Inc,MTD,0.0816%,SPY
2524,VF Corp,VFC,0.0805%,SPY
2525,Freeport-McMoRan Inc,FCX,0.0805%,SPY
2526,Southwest Airlines Co,LUV,0.0803%,SPY
2527,DTE Energy Co,DTE,0.0798%,SPY
2528,Copart Inc,CPRT,0.0789%,SPY
2529,Cerner Corp,CERN,0.0788%,SPY
2530,Schlumberger NV,SLB,0.0784%,SPY
2531,Lennar Corp,LEN,0.0784%,SPY
2532,Corteva Inc,CTVA,0.0774%,SPY
2533,Dollar Tree Inc,DLTR,0.0773%,SPY
2534,State Street Corp,STT,0.0764%,SPY
2535,EOG Resources Inc,EOG,0.0762%,SPY
2536,Realty Income Corp,O,0.0761%,SPY
2537,Weyerhaeuser Co,WY,0.0758%,SPY
2538,Hershey Co,HSY,0.0756%,SPY
2539,Avalonbay Communities Inc,AVB,0.0754%,SPY
